Feature,Importance
Credit_History,0.2745133512853898
IncomeLoanRatio,0.10414614450141908
ApplicantIncome_log,0.09441309792333819
BalanceIncome,0.09026361800080426
TotalIncome_log,0.09013134377297662
EMI,0.08019266077097686
LoanAmount_log,0.07693656887316676
CoapplicantIncome_log,0.054806964048303236
Dependents,0.02658556474982022
Property_Area_Semiurban,0.020848107380782424
Loan_Amount_Term,0.01701943795956512
Property_Area_Rural,0.015638194013827586
Married,0.01494231331235068
Education,0.014023289454478548
Property_Area_Urban,0.010127927121418212
Self_Employed,0.007793901697630074
Gender,0.00761751513375243
